failure_id,equipment_id,failure_date,failure_type,description,repair_cost,downtime_hours,root_cause,parts_replaced
F001,HVAC002,2022-02-20,Critical,Compressor failure due to overheating,$1200,24,Insufficient cooling,
F002,PUMP003,2022-04-10,Major,Pump cavitation leading to bearing damage,$850,16,Inadequate suction pressure,
F003,TURBINE004,2022-06-05,Critical,Turbine blade fracture,$3500,48,Material fatigue,
F004,MOTOR005,2022-07-25,Minor,Motor overload protection tripping,$450,8,Voltage fluctuation,
F005,EXCHANGER006,2022-09-12,Major,Heat exchanger tube leak,$1200,20,Corrosion,
F006,COMPRESSOR007,2022-11-05,Critical,Air compressor valve failure,$1800,32,Excessive operating temperature,
F007,GENERATOR008,2023-01-15,Major,Generator excitation system failure,$2200,28,Component aging,
F008,BOILER009,2023-03-08,Critical,Boiler tube rupture,$4000,60,Scale buildup,
F009,HVAC010,2023-04-22,Minor,Fan motor bearing failure,$580,12,Inadequate lubrication,
F010,PUMP011,2023-06-10,Major,Mechanical seal failure,$950,18,Chemical degradation,
F011,TURBINE012,2023-08-05,Critical,Control system malfunction,$2800,36,Software error,
F012,MOTOR013,2023-09-18,Major,Winding insulation breakdown,$1700,24,Moisture ingress,
F013,EXCHANGER014,2023-11-02,Minor,Gasket leak,$350,6,Thermal cycling,
F014,COMPRESSOR015,2023-12-15,Major,Intercooler failure,$1400,22,Fouling,
F015,GENERATOR016,2024-01-28,Critical,Fuel system contamination,$2600,38,Poor fuel quality,
F016,BOILER017,2024-03-10,Major,Pressure relief valve failure,$1100,20,Spring fatigue,
F017,HVAC001,2022-05-18,Minor,Refrigerant leak,$520,10,Connection vibration,
F018,PUMP019,2022-08-22,Major,Impeller damage,$980,16,Cavitation,
F019,TURBINE004,2023-02-12,Critical,Gearbox failure,$4200,54,Lubrication issue,
F020,MOTOR005,2023-05-05,Major,Rotor imbalance,$1350,24,Bearing wear,
F021,EXCHANGER014,2023-07-20,Minor,Fouling and reduced efficiency,$600,8,Particulate accumulation,
F022,COMPRESSOR007,2023-10-08,Critical,Crankshaft failure,$3800,48,Excessive load,
F023,GENERATOR008,2024-02-15,Major,Voltage regulator malfunction,$1200,22,Electronic component failure,
F024,BOILER009,2022-12-10,Critical,Burner control failure,$2400,36,Sensor malfunction,
F025,HVAC010,2023-08-28,Minor,Condensate drain blockage,$380,6,Debris accumulation,
HVAC001,2021-05-31,Component Failure,48,3500,Compressor,Electrical Surge,
HVAC001,2022-05-01,Refrigerant Leak,24,1200,Seal Kit,Wear and Tear,
HVAC002,2021-09-03,Motor Failure,36,2800,Fan Motor,Overheating,
HVAC002,2022-10-09,Control System Failure,12,900,Control Board,Electrical Issue,
HVAC010,2021-06-30,Compressor Failure,56,4200,Compressor Assembly,Bearing Wear,
HVAC010,2022-08-22,Refrigerant Leak,18,1100,Coil Assembly,Physical Damage,
HVAC018,2021-04-21,Thermostat Failure,8,500,Thermostat,Software Bug,
HVAC018,2022-11-07,Blower Motor Failure,24,1900,Blower Motor,Electrical Short,
PUMP003,2021-06-15,Seal Failure,16,1200,Mechanical Seal,Cavitation,
PUMP003,2022-06-05,Impeller Damage,32,2800,Impeller,Debris in System,
PUMP011,2021-05-11,Bearing Failure,40,2200,Bearings,Inadequate Lubrication,
PUMP011,2022-10-05,Motor Burnout,72,5800,Pump Motor,Electrical Fluctuation,
PUMP019,2021-08-14,Mechanical Seal Failure,24,1800,Seal Kit,Chemical Corrosion,
PUMP019,2022-06-10,Coupling Failure,12,900,Coupling Assembly,Misalignment,
TURBINE004,2021-12-02,Blade Damage,96,12000,Turbine Blades,Foreign Object Damage,
TURBINE004,2022-09-12,Bearing Failure,72,8500,Main Bearings,Lubrication System Failure,
TURBINE012,2022-01-01,Control System Failure,48,6200,Control Module,Software Error,
TURBINE012,2022-06-19,Oil System Failure,36,4800,Oil Pump,Contamination,
TURBINE020,2021-10-13,Seal Failure,24,3200,Seal Assembly,Thermal Stress,
TURBINE020,2022-06-19,Blade Erosion,60,9500,Turbine Blades,Material Wear,
MOTOR005,2021-07-25,Winding Failure,48,2800,Stator Windings,Moisture Ingress,
MOTOR005,2022-12-06,Bearing Failure,32,1900,Bearing Assembly,Misalignment,
MOTOR013,2021-04-01,Overheating,16,1200,Cooling Fan,Cooling System Failure,
MOTOR013,2022-10-16,Electrical Failure,36,2600,Control Board,Power Surge,
EXCHANGER006,2021-09-13,Tube Rupture,72,8500,Tube Bundle,Corrosion,
EXCHANGER006,2022-06-25,Gasket Failure,24,1800,Gasket Set,Temperature Cycling,
EXCHANGER014,2021-07-10,Fouling,18,1200,None,Scale Buildup,
EXCHANGER014,2022-05-01,Corrosion Damage,56,7200,Plates,Chemical Attack,
