equipment_id,equipment_type,manufacturer,model,installation_date,location,department,normal_operating_temp,max_vibration,normal_pressure,oil_capacity
HVAC001,HVAC System,Carrier,CK-38LX,2019-06-15,Building A,Operations,24.5,0.8,101.3,5.2
HVAC002,HVAC System,Trane,TR-420C,2018-04-22,Building B,Production,23.8,0.7,101.5,4.8
PUMP003,Centrifugal Pump,Grundfos,CP-90R,2020-01-10,Pump Station 1,Water Treatment,35.2,1.2,425.0,3.5
TURBINE004,Steam Turbine,GE,ST-5000,2017-11-05,Power Plant,Energy,320.5,2.0,1520.0,42.0
MOTOR005,Electric Motor,ABB,EM-200HP,2019-08-12,Assembly Line,Manufacturing,40.6,1.5,N/A,2.8
EXCHANGER006,Heat Exchanger,Alfa Laval,HX-T120,2020-03-18,Process Area,Chemical,65.3,0.5,215.0,N/A
COMPRESSOR007,Air Compressor,Atlas Copco,GA-75,2018-09-30,Utility Room,Maintenance,55.8,1.8,850.0,8.5
GENERATOR008,Diesel Generator,Caterpillar,C15,2017-05-15,Backup Power,Facilities,82.4,2.2,N/A,38.0
BOILER009,Steam Boiler,Cleaver-Brooks,CB-600,2016-12-08,Boiler Room,Energy,175.0,0.9,1250.0,N/A
HVAC010,HVAC System,York,YK-550,2019-02-28,Building C,Administration,25.0,0.6,101.3,5.0
PUMP011,Submersible Pump,Flygt,SRC-300,2020-05-22,Wastewater Plant,Utilities,32.0,1.0,380.0,2.5
TURBINE012,Gas Turbine,Siemens,SGT-800,2018-07-11,Power Generation,Energy,290.0,2.1,1650.0,55.0
MOTOR013,Electric Motor,Siemens,IEC-132,2019-10-05,Conveyor System,Logistics,38.5,1.4,N/A,2.2
EXCHANGER014,Plate Exchanger,SPX Flow,APV-H15,2020-02-14,Cooling Tower,HVAC,58.0,0.4,180.0,N/A
COMPRESSOR015,Rotary Screw,Ingersoll Rand,R110i,2017-08-20,Air Station,Pneumatics,60.2,1.7,780.0,12.0
GENERATOR016,Gas Generator,Cummins,QSK60,2018-03-12,Backup Power,Emergency,78.5,2.3,N/A,45.0
BOILER017,Hot Water Boiler,Viessmann,V200,2019-05-05,Heating Plant,Facilities,85.0,0.8,550.0,N/A
HVAC018,Chiller System,Daikin,AHU-520,2020-08-15,Data Center,IT,22.0,0.5,101.4,8.0
PUMP019,Positive Displacement,Verder,VF-125,2018-11-22,Chemical Plant,Processing,36.5,1.3,520.0,4.2
TURBINE020,Wind Turbine,Vestas,V120,2019-12-10,Wind Farm,Renewable Energy,35.0,3.0,N/A,60.0 
