equipment_id,sensor_type,min_threshold,max_threshold,warning_low,warning_high,critical_low,critical_high,unit
HVAC001,temperature,10,40,15,30,12,35,°C
HVAC001,pressure,70,130,80,120,75,125,kPa
HVAC001,vibration,0,10,0,5,0,8,mm/s
HVAC001,current,0,30,5,25,2,28,A
HVAC001,voltage,200,260,210,250,205,255,V
HVAC001,humidity,20,80,30,70,25,75,%
HVAC002,temperature,10,40,15,30,12,35,°C
HVAC002,pressure,70,130,80,120,75,125,kPa
HVAC002,vibration,0,10,0,5,0,8,mm/s
HVAC002,current,0,30,5,25,2,28,A
HVAC002,voltage,200,260,210,250,205,255,V
HVAC002,humidity,20,80,30,70,25,75,%
HVAC010,temperature,10,40,15,30,12,35,°C
HVAC010,pressure,70,130,80,120,75,125,kPa
HVAC010,vibration,0,10,0,5,0,8,mm/s
HVAC010,current,0,30,5,25,2,28,A
HVAC010,voltage,200,260,210,250,205,255,V
HVAC010,humidity,20,80,30,70,25,75,%
HVAC018,temperature,10,40,15,30,12,35,°C
HVAC018,pressure,70,130,80,120,75,125,kPa
HVAC018,vibration,0,10,0,5,0,8,mm/s
HVAC018,current,0,30,5,25,2,28,A
HVAC018,voltage,200,260,210,250,205,255,V
HVAC018,humidity,20,80,30,70,25,75,%
PUMP003,temperature,5,85,10,80,8,82,°C
PUMP003,pressure,100,700,120,650,110,680,kPa
PUMP003,vibration,0,15,0,10,0,12,mm/s
PUMP003,flow,5,50,8,45,6,48,m³/h
PUMP003,current,0,50,5,45,3,48,A
PUMP003,voltage,380,440,390,430,385,435,V
PUMP011,temperature,5,85,10,80,8,82,°C
PUMP011,pressure,100,700,120,650,110,680,kPa
PUMP011,vibration,0,15,0,10,0,12,mm/s
PUMP011,flow,5,50,8,45,6,48,m³/h
PUMP011,current,0,50,5,45,3,48,A
PUMP011,voltage,380,440,390,430,385,435,V
PUMP019,temperature,5,85,10,80,8,82,°C
PUMP019,pressure,100,700,120,650,110,680,kPa
PUMP019,vibration,0,15,0,10,0,12,mm/s
PUMP019,flow,5,50,8,45,6,48,m³/h
PUMP019,current,0,50,5,45,3,48,A
PUMP019,voltage,380,440,390,430,385,435,V
TURBINE004,temperature,20,600,30,580,25,590,°C
TURBINE004,pressure,500,3500,600,3400,550,3450,kPa
TURBINE004,vibration,0,20,0,15,0,18,mm/s
TURBINE004,flow,100,500,120,480,110,490,m³/h
TURBINE004,speed,2900,3200,2950,3150,2930,3180,RPM
TURBINE004,oil_pressure,100,500,120,480,110,490,kPa
TURBINE004,oil_temperature,30,90,40,80,35,85,°C
TURBINE012,temperature,20,600,30,580,25,590,°C
TURBINE012,pressure,500,3500,600,3400,550,3450,kPa
TURBINE012,vibration,0,20,0,15,0,18,mm/s
TURBINE012,flow,100,500,120,480,110,490,m³/h
TURBINE012,speed,2900,3200,2950,3150,2930,3180,RPM
